,text,is_italic,x_top_left,font_size,start,is_bold,font_name,is_normal,y_top_left,width,end,height,w2v,ADJ,PROPN,NUM,NOUN,DATE,URL,PERSON,ORG,ABB
0,2009,False,614,21,0,True,BCDEEE+Calibri-Bold,False,378,44,4,10,0.00010218529,0,0,0,0,1,0,0,0,0
1,Килябова,True,177,21,0,False,BCDFEE+Calibri-Italic,False,145,89,8,10,0.00020556005,0,1,0,0,0,0,0,0,0
2,Алина,True,272,21,9,False,BCDFEE+Calibri-Italic,False,145,58,14,10,-0.0004194731,0,1,0,0,0,0,1,0,0
3,Викторовона,True,335,21,15,False,BCDFEE+Calibri-Italic,False,145,129,26,10,-0.00034699778,0,1,0,0,0,0,1,0,0
4,Биолого-почвенный,False,207,21,0,False,BCDHEE+Calibri,True,427,188,17,10,0.00014510904,0,0,0,0,0,0,0,0,0
5,21.03.2012,False,287,21,0,False,BCDIEE+Calibri,True,471,100,10,10,-0.000108808636,0,0,1,0,0,0,1,0,0
6,Студент,True,362,27,0,True,TimesNewRomanPS-BoldItalicMT,False,98,116,7,12,0.00071579794,0,0,0,1,0,0,0,0,0
7,ФИО:,False,56,36,0,True,TimesNewRomanPS-BoldMT,False,145,98,4,16,0.00050687796,0,0,0,0,0,0,0,0,0
8,Номер,False,56,27,0,True,BCDJEE+Calibri-Bold,False,193,81,5,13,0.00013176799,0,1,0,0,0,0,0,0,0
9,приказа:,False,144,27,6,True,BCDEEE+Calibri-Bold,False,193,106,14,13,0.00022910694,0,0,0,0,0,0,0,0,0
10,53521-АИ,False,257,27,15,True,BCDJEE+Calibri-Bold,False,193,114,23,13,0.0006429367,1,0,0,0,0,0,0,0,1
11,Проректор:,False,56,27,0,False,TimesNewRomanPSMT,True,238,136,10,12,-6.361975e-05,0,0,0,0,0,0,0,0,0
12,Сахаров,False,199,27,11,False,TimesNewRomanPSMT,True,238,98,18,12,0.0005920415,0,1,0,0,0,0,1,0,0
13,Клим,False,305,27,19,False,TimesNewRomanPSMT,True,238,65,23,12,0.0007773038,0,1,0,0,0,0,1,0,0
14,Сергеев,False,377,27,24,False,TimesNewRomanPSMT,True,238,94,31,12,0.0006500118,0,1,0,0,0,0,1,0,0
15,Группа:,False,56,36,0,False,BCDHEE+Calibri,True,374,115,7,18,0.00017567373,0,0,0,0,0,0,0,0,0
16,Год,False,342,36,8,False,BCDHEE+Calibri,True,374,54,11,18,-0.00063131755,0,1,0,0,0,0,0,0,0
17,поступления:,False,405,36,12,False,BCDHEE+Calibri,True,374,203,24,18,-0.0006412031,0,0,0,0,0,0,0,0,0
18,Факультет:,True,56,26,0,False,BCDFEE+Calibri-Italic,False,425,141,10,13,-0.0001588081,0,0,0,0,0,0,0,0,0
19,Действителен,True,56,26,0,True,BCDKEE+Calibri-BoldItalic,False,467,176,12,13,0.00066477084,0,1,0,0,0,0,0,0,0
20,до:,True,238,26,13,True,BCDLEE+Calibri-BoldItalic,False,467,34,16,13,1.500289e-05,0,0,0,0,0,0,0,0,0
21,ДК-10.353,False,186,21,0,True,BCDEEE+Calibri-Bold,False,381,95,9,10,-0.00031133223,0,0,0,1,0,0,0,0,1
