,text,is_italic,x_top_left,font_size,start,is_bold,font_name,is_normal,y_top_left,width,end,height,w2v,ADJ,PROPN,NUM,NOUN,DATE,URL,PERSON,ORG,ABB
0,2021,False,614,21,0,True,BCDEEE+Calibri-Bold,False,378,44,4,10,-0.0005864333,0,0,0,0,1,0,0,0,0
1,Иванов,True,177,21,0,False,BCDFEE+Calibri-Italic,False,145,69,6,10,0.00036615133,0,1,0,0,0,0,1,0,0
2,Иван,True,251,21,7,False,BCDFEE+Calibri-Italic,False,145,47,11,10,-0.0004971571,0,1,0,0,0,0,1,0,0
3,Иванович,True,304,21,12,False,BCDFEE+Calibri-Italic,False,145,90,20,10,0.0004977349,0,1,0,0,0,0,1,0,0
4,Институт,False,207,21,0,False,BCDHEE+Calibri,True,427,82,8,10,-0.00026118165,0,1,0,0,0,0,0,0,0
5,математики,False,294,21,9,False,BCDHEE+Calibri,True,427,112,19,10,-0.0003485943,0,0,0,1,0,0,0,0,0
6,и,False,412,21,20,False,BCDHEE+Calibri,True,427,11,21,10,-0.00011088143,0,0,0,0,0,0,0,0,0
7,информационных,False,429,21,22,False,BCDHEE+Calibri,True,427,169,36,10,-0.00065468275,1,0,0,0,0,0,0,0,0
8,технологий,False,603,21,37,False,BCDHEE+Calibri,True,427,106,47,10,-0.00026374857,0,0,0,1,0,0,0,0,0
9,31.08.2023,False,287,21,0,False,BCDIEE+Calibri,True,471,100,10,10,-0.00065585575,0,0,0,0,1,0,0,0,0
10,Студент,True,362,27,0,True,TimesNewRomanPS-BoldItalicMT,False,98,116,7,12,0.00071579794,0,0,0,1,0,0,0,0,0
11,ФИО:,False,56,36,0,True,TimesNewRomanPS-BoldMT,False,145,98,4,16,0.00050687796,0,0,0,0,0,0,0,0,0
12,Номер,False,56,27,0,True,BCDJEE+Calibri-Bold,False,193,81,5,13,0.00013176799,0,1,0,0,0,0,0,0,0
13,приказа:,False,144,27,6,True,BCDEEE+Calibri-Bold,False,193,106,14,13,0.00022910694,0,0,0,0,0,0,0,0,0
14,9523-АИ,False,257,27,15,True,BCDJEE+Calibri-Bold,False,193,100,22,13,1.5242833e-05,0,0,0,0,0,0,0,0,1
15,Проректор:,False,56,27,0,False,TimesNewRomanPSMT,True,238,136,10,12,-6.361975e-05,0,0,0,0,0,0,0,0,0
16,Власов,False,199,27,11,False,TimesNewRomanPSMT,True,238,84,17,12,0.00041533352,0,1,0,0,0,0,1,0,0
17,Дмитрий,False,291,27,18,False,TimesNewRomanPSMT,True,238,107,25,12,-0.0005241375,0,1,0,0,0,0,1,0,0
18,Юрьевич,False,406,27,26,False,TimesNewRomanPSMT,True,238,110,33,12,0.00027289666,0,1,0,0,0,0,1,0,0
19,Группа:,False,56,36,0,False,BCDHEE+Calibri,True,374,115,7,18,0.00017567373,0,0,0,0,0,0,0,0,0
20,Год,False,342,36,8,False,BCDIEE+Calibri,True,374,54,11,18,-0.00063131755,0,1,0,0,0,0,0,0,0
21,поступления:,False,405,36,12,False,BCDIEE+Calibri,True,374,203,24,18,-0.0006412031,0,0,0,0,0,0,0,0,0
22,Факультет:,True,56,26,0,False,BCDGEE+Calibri-Italic,False,425,141,10,13,-0.0001588081,0,0,0,0,0,0,0,0,0
23,Действителен,True,56,26,0,True,BCDKEE+Calibri-BoldItalic,False,467,176,12,13,0.00066477084,0,1,0,0,0,0,0,0,0
24,до:,True,238,26,13,True,BCDLEE+Calibri-BoldItalic,False,467,34,16,13,1.500289e-05,0,0,0,0,0,0,0,0,0
25,21053-ДБ,False,186,21,0,True,BCDJEE+Calibri-Bold,False,381,89,8,10,0.00014741589,0,0,1,0,0,0,0,0,1
